subject,writer,view,file,comment,id,date
1252,솔루션플랫폼팀 솔루션 개발 인턴 영입,컴퓨터공학전공,2021.10.06,0,119,
1251,[필독] 2021 2학기 노트북지원금 신청안내,컴퓨터공학전공,2021.10.05,0,874,
1250,2021-2학기 수업만족도 1차 조사(중간평가) 실시 안내,컴퓨터공학전공,2021.10.01,0,70,
1249,2022학년 IPP형 일학습병행 참여학생 모집,컴퓨터공학전공,2021.10.01,0,119,
1248,'지역청년과 함께하는 2021년 가천멘토 온라인 직무멘토링’ 개최 안내,컴퓨터공학전공,2021.09.30,0,38,
1247,외국어능력 졸업인증 신청,컴퓨터공학전공,2021.09.29,0,83,
1246,2021 재학생 실태조사 실시 안내 사항,컴퓨터공학전공,2021.09.29,0,22,
1245,2021-2nd Semester Submission of Class Enrollment C,컴퓨터공학전공,2021.09.28,0,27,
1244,2021-2nd Semester Adjustments of Class Operating S,컴퓨터공학전공,2021.09.28,0,34,
1243,㈜팬옵틱스 모집 공고,컴퓨터공학전공,2021.09.27,0,82,
1242,2021-2학기 미등록 및 미복학자,컴퓨터공학전공,2021.09.14,0,80,
1241,2021-전기 졸업예정자 교양필수 교과목 확인방법,컴퓨터공학전공,2021.09.13,0,245,
1240,2021-전기 졸업예정자 1차 졸업사정자료 확인 방법,컴퓨터공학전공,2021.09.13,0,255,
1239,2021-전기 졸업예정자 추가수강 신청서,컴퓨터공학전공,2021.09.13,0,114,
1238,2021 AI 온라인교육과정 개발 및 운영 사업,컴퓨터공학전공,2021.09.08,0,108,
1237,Simplified Procedures for Absence Approvement of 2,컴퓨터공학전공,2021.09.08,0,40,
1236,Class Operating Standards of 2021-2nd Semester Aft,컴퓨터공학전공,2021.09.08,0,30,
1235,Administrative Details of Student Unregistered or,컴퓨터공학전공,2021.09.08,0,30,
1234,2021학년도 자랑스러운 가천인상 및 가천인재상 추천,컴퓨터공학전공,2021.09.07,0,134,
1233,2021-2학기 교내장학금 2차 신청기간 안내,컴퓨터공학전공,2021.09.07,0,112,
1232,2021 2nd Semester: Approved Absence Due to Vaccina,컴퓨터공학전공,2021.09.02,0,59,
1231,2021-2nd Semester Class Operating Standards Adjust,컴퓨터공학전공,2021.09.02,0,54,
1230,"컴퓨터구조,이산수학 추가 증원",컴퓨터공학전공,2021.09.02,0,145,
1229,사이버캠퍼스 카카오톡 채널 개설,컴퓨터공학전공,2021.09.02,0,29,
1228,2021-2학기(장기) 실습학기제 실습생모집 (알파홀딩스),컴퓨터공학전공,2021.08.26,0,124,
1227,2021-2학기 취·창업 진로세미나 필수과제(미제출시 FAIL) 안내,컴퓨터공학전공,2021.08.26,0,149,
1226,2021-2학기 취·창업 진로세미나 교재 배부 안내,컴퓨터공학전공,2021.08.26,0,102,
1225,2021-2학기 창의NTree 교과목 수강 안내 (1학년 필독),컴퓨터공학전공,2021.08.25,0,122,
1224,2021-2학기 강의 수요조사 결과 안내,컴퓨터공학전공,2021.08.25,0,451,
1223,2020학년도 후기 학위수여식 미시행 안내,컴퓨터공학전공,2021.08.25,0,138,
1222,[공통] 2021년 ㈜유비쿼스 신입사원채용(~8.29),컴퓨터공학전공,2021.08.24,0,78,
1221,2학기 자바 mooc TA 및 외국인 유학생지원 근로 장학금 학생 모집,컴퓨터공학과,2021.08.20,0,144,
1220,시큐놀로지랩 신입사원 모집,컴퓨터공학과,2021.08.20,0,59,
1219,2021-2학기 외국어능력 졸업인증 대체프로그램 시행안내,컴퓨터공학과,2021.08.17,0,122,
1218,2021-2학기 수강과목 수요조사 안내 [120],컴퓨터공학과,2021.08.17,120,1227,
1217,시큐놀로지랩(유) 채용 공고,컴퓨터공학과,2021.08.13,0,116,
1216,2021학년도 2학기 수강신청 안내,컴퓨터공학과,2021.08.09,0,499,
1215,(주)온아이티시스템 신입사원 모집 공고,컴퓨터공학과,2021.07.29,0,178,
1214,클라우드 기반 인공지능 시스템 구축실무과정 모집,컴퓨터공학과,2021.07.22,0,180,
1213,2021-2학년도 “창의 NTree” 교과목 운영 일정 안내,컴퓨터공학과,2021.07.19,0,700,
1212,2021학년도 2학기 예비수강신청 안내,컴퓨터공학과,2021.07.16,0,665,
1211,중요)))2020-후기(2021-8월) 최종 졸업사정 안내,컴퓨터공학과,2021.07.15,0,859,
1210,"2020-후기 졸업대상자(합격자, 불합격자) 안내문",컴퓨터공학과,2021.07.15,0,608,
1209,2021-2학기 인성세미나(졸업대상자) 수요조사,컴퓨터공학과,2021.07.13,-4,207,
1208,Class for English Track Students,컴퓨터공학과,2021.07.06,0,112,
1207,[[ICT인턴십] 2021년 하반기 국내과정 학생 대상 안내,컴퓨터공학과,2021.07.02,0,247,
1206,기계공학과 김남중교수 연구분야 소개자료,컴퓨터공학과,2021.06.23,0,203,
1205,2021-하계 원어민집중영어회화 프로그램,컴퓨터공학과,2021.06.22,0,110,
1204,2020-후기 졸업대상자 전공 Honors 졸업인증 신청서 제출 안내,컴퓨터공학과,2021.06.17,0,243,
1203,2021-2학기 교내장학금 신청기간 안내,컴퓨터공학과,2021.06.17,0,444,
1202,2021-2학기 전과신청자 1차 합격명단 및 2차 면접심사 안내,컴퓨터공학과,2021.06.15,0,374,
1201,2021-하계 전공특화(Finance) 원어민 집중영어회화,컴퓨터공학과,2021.06.14,0,93,
1200,2021-1학기 실직·폐업자 자녀 긴급 경제사정 곤란 교내장학금 신청 안내,컴퓨터공학과,2021.06.10,0,70,
1199,2021-1st Semester Announcement of Grades and Corre,컴퓨터공학과,2021.06.08,0,101,
1198,2021-2학기 재입학 신청 안내,컴퓨터공학과,2021.06.08,0,98,
1197,2021-1학기 졸업작품평가회 심사 합격자명단,컴퓨터공학과,2021.06.08,0,332,
1196,2020-후기 융합(연계)전공 자격신청서 제출 안내,컴퓨터공학과,2021.06.07,0,83,
1195,[취업진로처] 성남시 청년 전공하JOB 현장실습 참여자 2차 모집 안내,컴퓨터공학과,2021.06.03,0,149,
1194,빅데이터 수업 14주차 취업특강 일정변경,컴퓨터공학과,2021.06.03,0,173,
1193,2021학년도 인성세미나 응급처치교육 연장수업 안내,컴퓨터공학과,2021.06.02,0,47,
1192,필독!! - 졸업작품 평가회 진행 및 발표 순서 공지!!,컴퓨터공학과,2021.05.31,0,317,
1191,21-2학기 IPP장기현장실습 (나이스신용정보) (인베니아) 참여자 모집 공지,컴퓨터공학과,2021.05.28,0,283,
1190,학생참여 대학혁신 사례영상 경진대회 개최 안내,컴퓨터공학과,2021.05.26,0,52,
1189,2021-2학기 롯데장학재단 38기 희망멘토링 장학생 선발모집공고,컴퓨터공학과,2021.05.25,0,98,
1188,2021-하계 외국어능력 졸업인증 대체프로그램 시행안내,컴퓨터공학과,2021.05.24,0,188,
1187,2021년 푸른등대 삼성기부장학금 신규장학생 신청,컴퓨터공학과,2021.05.21,0,106,
1186,2021-1학기 긴급 경제사정 곤란 국가장학금 2유형 신청,컴퓨터공학과,2021.05.21,0,76,
1185,[아르테크네센터] 학과 홍보영상 공모전 안내,컴퓨터공학과,2021.05.20,0,45,
1184,2021-2학기 학·석사연계과정 신청 안내,컴퓨터공학과,2021.05.17,0,103,
1183,[LINC+] 스마트에너지시스템 융합전공 21-2 학생 모집(3학년),컴퓨터공학과,2021.05.14,0,107,
1182,2021년 전력·에너지분야 창의혁신 아이디어 공모,컴퓨터공학과,2021.05.14,0,40,
1181,2021-하계 단기 실습학기제(현장실습) 시행 안내,컴퓨터공학과,2021.05.14,0,300,
1180,2021학년도 가천 ‘취업 서포터즈’ 모집,컴퓨터공학과,2021.05.14,0,53,
1179,2021-2학기 제2전공(부·복수·융합전공) 신청 안내,컴퓨터공학과,2021.05.13,0,159,
1178,2021-하계 어학캠프 참가자 모집,컴퓨터공학과,2021.05.13,0,119,
1177,2021-1학기 장학사정관 장학생 추천,컴퓨터공학과,2021.05.11,0,125,
1176,2021-2학기 조기졸업 신청 안내,컴퓨터공학과,2021.05.11,0,100,
1175,2021학년도 신입생 실태조사 실시 안내,컴퓨터공학과,2021.05.10,0,53,
1174,2021-후기 대학원 진학 설명회 동영상,컴퓨터공학과,2021.05.10,0,80,
1173,[필독] 2021 컴공 졸업 자격 취득을 위한 졸업작품 신청 안내,컴퓨터공학과,2021.05.09,0,467,
1172,[한국소프트웨어기술진흥협회] 4차산업 융합 SW개발자 양성과정 교육생 모집,컴퓨터공학과,2021.05.06,0,140,
1171,[필독] 2021 1학기 노트북지원금 추가 신청 안내,컴퓨터공학과,2021.05.06,0,282,
1170,2021 Summer Session Course Registration and Schedu,컴퓨터공학과,2021.05.04,0,138,
1169,학생 격려 가천 사랑 GIFT 집중배부 3차 지급 계획 알림,컴퓨터공학과,2021.05.03,0,42,
1168,2021학년도 하계계절학기 수강신청 안내,컴퓨터공학과,2021.05.03,0,187,
1167,[IPP] 단기+IPP장기현장실습 실습생모집_(주)위메프,컴퓨터공학과,2021.04.30,0,337,
1166,학생 격려 가천 사랑 GIFT 집중배부 2차 지급 계획 알림,컴퓨터공학과,2021.04.29,0,95,
1165,2021-2학기 전과 신청 안내,컴퓨터공학과,2021.04.28,0,267,
1164,취업약정 무료교육 goBlock실무 프로젝트 과정 신청안내,컴퓨터공학과,2021.04.21,0,123,
1163,2021 창의적 종합설계 아이디어 공모전 참가 신청 안내,컴퓨터공학과,2021.04.20,0,138,
1162,2021 Summer Session Preliminary Course Registratio,컴퓨터공학과,2021.04.15,0,72,
1161,2021학년도 하계 계절학기 예비수강신청 및 일정 안내,컴퓨터공학과,2021.04.14,0,239,
1160,2021학년도 신입생 가천 굿즈후드티 지급 계획 변경,컴퓨터공학과,2021.04.08,0,200,
1159,[Must-read] “Edited” Information on applying for l,컴퓨터공학과,2021.04.07,0,191,
1158,2021년 국가우수장학(이공계) 장학생 성적(고교) 및 재학중 우수유형 추천,컴퓨터공학과,2021.04.06,0,196,
1157,2020-후기 졸업대상자 제2전공(부/복수) 자격신청서 제출 안내,컴퓨터공학과,2021.04.06,0,201,
1156,[필독] *내용 수정* 2021 1학기 노트북지원금 신청 안내,컴퓨터공학과,2021.04.06,0,1798,
1155,2021-1학기 학부생 연구형 인턴쉽 프로그램 운영사항 안내,컴퓨터공학과,2021.03.30,0,266,
1154,Notice of withdrawal of classes for the 1st semest,컴퓨터공학과,2021.03.23,0,121,
1153,2021학년도 1학기 수강포기 안내,컴퓨터공학과,2021.03.22,0,95,
1152,2021-1학기 교내장학금 2차 신청기간 안내,컴퓨터공학과,2021.03.22,0,212,
1151,Notice to conducting free COVID-19 tests for inter,컴퓨터공학과,2021.03.19,0,89,
1150,2021년도 재학생(학부생) 폭력예방교육 안내,컴퓨터공학과,2021.03.18,0,73,
1149,2021 정보보안 분야 진로탐색 강사 양성과정 교육생 모집 공고,컴퓨터공학과,2021.03.17,0,115,
